연도,시도,시군구,자가비율
2017,서울특별시,은평구,0.5414966516552457
2017,서울특별시,서대문구,0.4920266515094101
2017,서울특별시,마포구,0.45326344444880706
2017,서울특별시,양천구,0.5790798852170693
2017,서울특별시,강서구,0.48290533747017117
2017,서울특별시,구로구,0.5449554801101787
2017,서울특별시,금천구,0.4728157682181032
2017,서울특별시,영등포구,0.46975108261780035
2017,서울특별시,동작구,0.48547437867826215
2017,서울특별시,관악구,0.37603999793292336
2017,서울특별시,서초구,0.5365210625478256
2017,서울특별시,강남구,0.4860803688111531
2017,서울특별시,송파구,0.5065342966368581
2017,서울특별시,강동구,0.4689631565845158
2017,부산광역시,중구,0.48081942187423055
2017,부산광역시,서구,0.5222587719298246
2017,부산광역시,동구,0.5088230575905032
2017,부산광역시,영도구,0.5671135012070421
2017,부산광역시,부산진구,0.5592226032990364
2017,부산광역시,동래구,0.625323254426099
2017,부산광역시,남구,0.617158569100874
2017,부산광역시,북구,0.6378353131939793
2017,부산광역시,해운대구,0.6143158989695413
2017,부산광역시,사하구,0.6034663988227325
2017,부산광역시,금정구,0.5815137037968318
2017,부산광역시,강서구,0.5021077952699645
