,,,,,,,,,,,"단위 : 개, 명, 억원"
지역,대분류,중분류,기업수,,,종사자수,,,매출액,,
,,,2019년,2020년,2021년,2019년,2020년,2021년,2019년,2020년,2021년
1. 서울,전산업,소계,"1,380,718 ","1,460,238 ","1,528,341 ","2,013,962 ","2,062,576 ","2,127,055 ","2,241,634 ","2,210,852 ","2,435,758 "
1. 서울,"A.농업, 임업 및 어업(01~03)",소계,523 ,521 ,577 ,646 ,630 ,696 ,734 ,947 ,"1,023 "
1. 서울,"A.농업, 임업 및 어업(01~03)",01.농업,394 ,399 ,453 ,475 ,463 ,525 ,583 ,840 ,876 
1. 서울,"A.농업, 임업 및 어업(01~03)",02.임업,90 ,82 ,90 ,130 ,126 ,137 ,128 ,72 ,108 
1. 서울,"A.농업, 임업 및 어업(01~03)",03.어업,39 ,40 ,34 ,41 ,41 ,34 ,23 ,35 ,39 
1. 서울,B.광업(05~08),소계,74 ,64 ,65 ,127 ,113 ,116 ,121 ,63 ,91 
1. 서울,B.광업(05~08),"05.석탄, 원유 및 천연가스 광업",12 ,8 ,8 ,15 ,8 ,8 ,2 ,0 ,0 
1. 서울,B.광업(05~08),06.금속 광업,19 ,18 ,16 ,30 ,24 ,22 ,2 ,3 ,9 
1. 서울,B.광업(05~08),07.비금속광물 광업; 연료용 제외,33 ,25 ,27 ,65 ,63 ,58 ,90 ,56 ,50 
1. 서울,B.광업(05~08),08.광업 지원 서비스업,10 ,13 ,14 ,17 ,18 ,28 ,28 ,4 ,32 
1. 서울,C.제조업(10~34),소계,"77,075 ","76,588 ","80,384 ","170,214 ","161,158 ","160,442 ","233,255 ","194,811 ","217,592 "
1. 서울,C.제조업(10~34),10.식료품 제조업,"5,654 ","5,923 ","6,403 ","10,823 ","11,280 ","11,588 ","8,848 ","8,658 ","10,743 "
1. 서울,C.제조업(10~34),11.음료 제조업,70 ,77 ,82 ,119 ,137 ,141 ,186 ,66 ,67 
1. 서울,C.제조업(10~34),12.담배 제조업,*,*,*,*,*,*,*,*,*
